,6.37,-501125
177,00:08,6.36,-501154
177,00:08,6.34,-501144
177,00:08,6.38,-501108
177,00:08,6.37,-501102
177,00:08,6.36,-501229
177,00:08,6.36,-500998
177,00:08,6.37,-501107
177,00:08,6.35,-501133
177,00:08,6.39,-500864
177,00:08,6.38,-501046
177,00:08,6.37,-501099
177,00:08,6.37,-501035
177,00:08,6.38,-501009
177,00:08,6.37,-501118
177,00:08,6.36,-501094
177,00:08,6.39,-501098
177,00:08,6.36,-501137
177,00:08,6.37,-501159
177,00:08,6.37,-501118
177,00:08,6.37,-501041
177,00:08,6.37,-501247
177,00:08,6.36,-501114
177,00:08,6.37,-500986
177,00:08,6.39,-501069
177,00:08,6.36,-501140
177,00:08,6.37,-501083
177,00:08,6.37,-500942
177,00:08,6.38,-501145
177,00:08,6.35,-501063
177,00:08,6.37,-501046
177,00:08,6.38,-501071
177,00:08,6.36,-501206
177,00:08,6.36,-501210
177,00:08,6.36,-501072
177,00:08,6.37,-501164
177,00:08,6.38,-501134
177,00:08,6.37,-501122
177,00:08,6.36,-501138
177,00:08,6.37,-501048
177,00:09,6.36,-501195
177,00:09,6.36,-500941
177,00:09,6.38,-501067
177,00:09,6.36,-501110
177,00:09,6.37,-500882
177,00:09,6.39,-500978
177,00:09,6.37,-501074
177,00:09,6.38,-500892
177,00:09,6.37,-501183
177,00:09,6.35,-501224
177,00:09,6.37,-501056
177,00:09,6.36,-501134
177,00:09,6.37,-500993
177,00:09,6.38,-501120
177,00:09,6.35,-501173
177,00:09,6.38,-501085
177,00:09,6.37,-501215
177,00:09,6.36,-501230
177,00:09,6.37,-501118
177,00:09,6.36,-501203
177,00:09,6.37,-501172
177,00:09,6.36,-501047
177,00:09,6.37,-501166
177,00:09,6.36,-501126
177,00:09,6.37,-500980
177,00:09,6.38,-501021
177,00:09,6.37,-501054
177,00:09,6.39,-500970
177,00:09,6.39,-501093
177,00:09,6.36,-500993
177,00:09,6.36,-501295
177,00:09,6.35,-501181
177,00:09,6.39,-501143
177,00:09,6.36,-501067
177,00:09,6.37,-501106
177,00:09,6.36,-501104
177,00:09,6.37,-501142
177,00:09,6.37,-501048
177,00:09,6.37,-501131
177,00:09,6.37,-501050
177,00:10,6.37,-501152
177,00:10,6.37,-501001
177,00:10,6.37,-501172
177,00:10,6.36,-501133
177,00:10,6.38,-500982
177,00:10,6.37,-500981
177,00:10,6.37,-501190
177,00:10,6.35,-501186
177,00:10,6.36,-501183
177,00:10,6.37,-501097
177,00:10,6.36,-501128
177,00:10,6.36,-501183
177,00:10,6.36,-501032
177,00:10,6.38,-501116
177,00:10,6.37,-501027
177,00:10,6.37,-501071
177,00:10,6.37,-501063
177,00:10,6.38,-501004
177,00:10,6.36,-501176
177,00:10,6.37,-501109
177,00:10,6.37,-500971
177,00:10,6.38,-500975
177,00:10,6.37,-501005
177,00:10,6.39,-501082
177,00:10,6.37,-501009
177,00:10,6.36,-501207
177,00:10,6.36,-501092
177,00:10,6.37,-500997
177,00:10,6.37,-501168
177,00:10,6.36,-501233
177,00:10,6.36,-501160
177,00:10,6.36,-501040
177,00:10,6.37,-501226
177,00:10,6.36,-501107
177,00:10,6.37,-501073
177,00:10,6.37,-500961
177,00:10,6.39,-500968
177,00:10,6.37,-501138
177,00:10,6.36,-501175
177,00:10,6.37,-501148
177,00:11,6.37,-501079
177,00:11,6.37,-501077
177,00:11,6.38,-500924
177,00:11,6.37,-501143
177,00:11,6.37,-501040
177,00:11,6.37,-501107
177,00:11,6.37,-501230
177,00:11,6.36,-501140
177,00:11,6.35,-501207
177,00:11,6.37,-501088
177,00:11,6.37,-501162
177,00:11,6.37,-501078
177,00:11,6.37,-501117
